,Rural_Urban,Area,School_Name,Medium,School_Status,Category_Code,Category_Name,School_Type_Code,School_Type_Name
41,Urban,DECCAN GYMKHANA,MATIMAND VIDYA PMC 14 B,4,Operational,1,Primary,3,Co-Education
42,Urban,DECCAN GYMKHANA,PMC SCHOOL 14 B  ENGLISH,0,Operational,1,Primary,3,Co-Education
43,Urban,DECCAN GYMKHANA,SHARDA VIDYAMANDIR,4,Operational,1,Primary,3,Co-Education
44,Urban,DECCAN GYMKHANA,L APTE PRASHALA,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
45,Urban,DECCAN GYMKHANA,SANT SHIVGANGA DEVI VID,4,Operational,8,Secondary Only,3,Co-Education
46,Urban,DECCAN GYMKHANA,SHIVAJI PRE SECONDARY,0,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
47,Urban,DECCAN GYMKHANA,SHIVAJI PRE PRI ,0,Operational,1,Primary,1,Boys
48,Urban,DECCAN GYMKHANA,THE ANDHRA SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
49,Urban,DECCAN GYMKHANA,ANDHRA HIGHSCHOOL,0,Operational,8,Secondary Only,3,Co-Education
50,Urban,DECCAN GYMKHANA,ANKUR VIDYAMANDIR,0,Operational,2,Primary with Upper Primary,3,Co-Education
51,Urban,D. MANGESHKAR HOSPITAL,PMC 74 G PAUDPHATA,4,Operational,2,Primary with Upper Primary,3,Co-Education
52,Urban,D. MANGESHKAR HOSPITAL,PMC 74G ENG MED.,0,Operational,2,Primary with Upper Primary,3,Co-Education
53,Urban,D. MANGESHKAR HOSPITAL,DNYANDA NUTAN BALVIKAS,4,Operational,1,Primary,3,Co-Education
54,Urban,D. MANGESHKAR HOSPITAL,D.R.NAGARKAR PRASHALA,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
55,Urban,D. MANGESHKAR HOSPITAL,PALKAR PRATHMIK VID,4,Operational,2,Primary with Upper Primary,3,Co-Education
56,Urban,D. MANGESHKAR HOSPITAL,CHAITANYA ENG. MED.,0,Operational,1,Primary,3,Co-Education
57,Urban,D. MANGESHKAR HOSPITAL,ABHINAV ENG. MED. SCH,0,Operational,2,Primary with Upper Primary,3,Co-Education
58,Urban,D. MANGESHKAR HOSPITAL,SEVASADAN ENG. MED. SCH,0,Operational,2,Primary with Upper Primary,3,Co-Education
59,Urban,D. MANGESHKAR HOSPITAL,SHAMRAO KALMADI PRI,0,Operational,1,Primary,3,Co-Education
60,Urban,D. MANGESHKAR HOSPITAL,SHAMRAO KALMADI SEC,0,Operational,7,Upper Pr. and Secondary,3,Co-Education
61,Urban,D. MANGESHKAR HOSPITAL,SEVASADAN ENG MED HIGH,0,Operational,8,Secondary Only,3,Co-Education
63,Urban,D. MANGESHKAR HOSPITAL,G. R. PALKAR SECONDARY SCHOOL MARATHI,4,Operational,8,Secondary Only,3,Co-Education
64,Urban,GOKHALE NAGAR,PMC 107 B,4,Operational,1,Primary,3,Co-Education
65,Urban,GOKHALE NAGAR,PMC 90 B,4,Operational,2,Primary with Upper Primary,1,Boys
66,Urban,GOKHALE NAGAR,PMC 57 G,4,Operational,2,Primary with Upper Primary,2,Girls
67,Urban,GOKHALE NAGAR,PMC 110 B,6,Operational,2,Primary with Upper Primary,3,Co-Education
68,Urban,GOKHALE NAGAR,GANPATRAO GOLE PMC SECONDARY SCH,4,Operational,8,Secondary Only,3,Co-Education
69,Urban,GOKHALE NAGAR,GOPALKRISHNA PRI,4,Operational,1,Primary,3,Co-Education
70,Urban,GOKHALE NAGAR,AKSHARNANDAN PRI,4,Operational,2,Primary with Upper Primary,3,Co-Education
71,Urban,GOKHALE NAGAR,AKSHRANANDAN SECONDARY,4,Operational,8,Secondary Only,3,Co-Education
72,Urban,GOKHALE NAGAR,VIDYABHAVAN PRI,0,Operational,1,Primary,3,Co-Education
73,Urban,GOKHALE NAGAR,VIKHE PATIL SEC SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
74,Urban,GOKHALE NAGAR,BHARATI VIDYABHAVAN PRI,0,Operational,2,Primary with Upper Primary,3,Co-Education
75,Urban,GOKHALE NAGAR,VIDYA BHAVAN HIGHSCHOOL,0,Operational,7,Upper Pr. and Secondary,3,Co-Education
76,Urban,GOKHALE NAGAR,BHARTI VIDYA BHAVAN SEC SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
77,Urban,GOKHALE NAGAR,KILBIL PRI,0,Operational,2,Primary with Upper Primary,3,Co-Education
78,Urban,GOKHALE NAGAR,VIKHE PATIL PRI,0,Operational,2,Primary with Upper Primary,3,Co-Education
79,Urban,GOKHALE NAGAR,KILBIL SECONDARY,0,Operational,8,Secondary Only,3,Co-Education
80,Urban,GOKHALE NAGAR,VIKHE PATIL JR. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
81,Urban,GOKHALE NAGAR,KILBIL JR. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
82,Urban,GOKHALE NAGAR,VIDYA BHAVAN JR. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
83,Urban,HINGNE S. S. SANSTHA,P.M.C.SCHOOL NO.101 G,4,Operational,2,Primary with Upper Primary,3,Co-Education
84,Urban,HINGNE S. S. SANSTHA,P.M.C.SCHOOL NO.205 B,4,Operational,2,Primary with Upper Primary,1,Boys
85,Urban,HINGNE S. S. SANSTHA,SAMRAT ASHOK VIDYAMANDIR 133 B,4,Operational,1,Primary,3,Co-Education
86,Urban,HINGNE S. S. SANSTHA,P.M.C. SCHOOL NO.3 G,4,Operational,2,Primary with Upper Primary,3,Co-Education
87,Urban,HINGNE S. S. SANSTHA,SAMRAT ASHOK VIDYAMANDIR 117 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
88,Urban,HINGNE S. S. SANSTHA,PMC 117 B ENGLISH MEDIUM,0,Operational,1,Primary,3,Co-Education
89,Urban,HINGNE S. S. SANSTHA,SHISHUVIHAR PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
90,Urban,HINGNE S. S. SANSTHA,SARASWATI VIDYA MANDIR,4,Operational,2,Primary with Upper Primary,3,Co-Education
91,Urban,HINGNE S. S. SANSTHA,ADVANT PRATHMIK VIDYAMANDIR,4,Operational,1,Primary,3,Co-Education
92,Urban,HINGNE S. S. SANSTHA,ANANDABAI KARVE PRATHMIK SCH,4,Operational,2,Primary with Upper Primary,2,Girls
93,Urban,HINGNE S. S. SANSTHA,MAHILAASHRAM HIGH SCH JUN COL,4,Operational,5,Up. Pr. Secondary and Higher Sec,2,Girls
94,Urban,HINGNE S. S. SANSTHA,BLUE BIRD PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
95,Urban,HINGNE S. S. SANSTHA,SWAMI VIVEKANAND PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
96,Urban,HINGNE S. S. SANSTHA,PRAGATI VIDYA MANDIR,4,Operational,2,Primary with Upper Primary,3,Co-Education
97,Urban,HINGNE S. S. SANSTHA,BLUE BIRD PRIMARY ENG,0,Operational,2,Primary with Upper Primary,3,Co-Education
98,Urban,HINGNE S. S. SANSTHA,ABHIMANYU ENGLISH MEDIUM,0,Operational,2,Primary with Upper Primary,3,Co-Education
99,Urban,HINGNE S. S. SANSTHA,JEEVAN VIDYA ENGLISH SCH,0,Operational,2,Primary with Upper Primary,3,Co-Education
100,Urban,HINGNE S. S. SANSTHA,BOMBAY CAMBRIDGE SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
101,Urban,HINGNE S. S. SANSTHA,SIDDHIVINYAK JR. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,2,Girls
102,Urban,HINGNE S. S. SANSTHA,MAHARASHI KARVE MARATHI,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
103,Urban,HINGNE S. S. SANSTHA,TREE HOUSE HIGH SCHOOL,0,Operational,1,Primary,3,Co-Education
104,Urban,HINGNE S. S. SANSTHA,ROSARY PRIMARY SCHOOL,0,Operational,1,Primary,3,Co-Education
105,Urban,KELEWADI MIT,P. M. C.  SCHOOL NO 131 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
106,Urban,KELEWADI MIT,P. M. C.  SCHOOL NO 94 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
107,Urban,KELEWADI MIT,PRATIBHA PAWAR VID,4,Operational,2,Primary with Upper Primary,3,Co-Education
108,Urban,KELEWADI MIT,BHARATI VIDHYAPITH VID. KANYA ,4,Operational,7,Upper Pr. and Secondary,2,Girls
109,Urban,KELEWADI MIT,SHRI SHANKARRAO MORE VIDH.,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
110,Urban,KELEWADI MIT,PUNE JILHA PRA. SANGH MAD VIDH,4,Operational,8,Secondary Only,3,Co-Education
111,Urban,KELEWADI MIT,BHARATIY VIDYAPEETH PRI,4,Operational,1,Primary,3,Co-Education
112,Urban,KELEWADI MIT,MIT SHARDA PRIMARY,4,Operational,1,Primary,3,Co-Education
113,Urban,KELEWADI MIT,SANT DYANESHWAR MADH,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
114,Urban,KELEWADI MIT,BHARATIY VIDYAPEETH ENG HSCH,0,Operational,7,Upper Pr. and Secondary,3,Co-Education
115,Urban,KELEWADI MIT,BHARATIY VIDYAPEETH PRI ENG,0,Operational,1,Primary,3,Co-Education
116,Urban,KELEWADI MIT,M I T SWAMI VIVEKANAND PRI SC,0,Operational,1,Primary,3,Co-Education
117,Urban,KELEWADI MIT,MAEERS SARASWATI NEW ENGLISH SCH,0,Operational,7,Upper Pr. and Secondary,3,Co-Education
118,Urban,KELEWADI MIT,MAMASAHEB MOHOL JR. COLLEGE,4,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
119,Urban,KELEWADI MIT,Y.M.C. JR. COLLEGE,4,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
120,Urban,KELEWADI MIT,M.I.T. JR. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
121,Urban,SHIVTIRTHANAGAR,P. M. C.  SCHOOL NO 134 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
122,Urban,SHIVTIRTHANAGAR,P. M. C.  SCHOOL NO 18 G,4,Operational,2,Primary with Upper Primary,3,Co-Education
123,Urban,SHIVTIRTHANAGAR,RAJA SHRISHIVRAY PRATI MAD,4,Operational,8,Secondary Only,3,Co-Education
124,Urban,SHIVTIRTHANAGAR,P B JOG MARATHI MADH,4,Operational,8,Secondary Only,3,Co-Education
125,Urban,SHIVTIRTHANAGAR,ATHARV PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
126,Urban,SHIVTIRTHANAGAR,SHRI SAGDURU BABAMAHARAJ SAHAS,4,Operational,2,Primary with Upper Primary,3,Co-Education
127,Urban,SHIVTIRTHANAGAR,ATHARV VIDYALAY SEC. MAR MED,4,Operational,8,Secondary Only,3,Co-Education
128,Urban,MODEL COLONY,PMC 57B,4,Operational,1,Primary,3,Co-Education
129,Urban,MODEL COLONY,PMC 2B,4,Operational,2,Primary with Upper Primary,1,Boys
130,Urban,MODEL COLONY,P. M. C. 41 G,4,Operational,2,Primary with Upper Primary,2,Girls
131,Urban,MODEL COLONY,SHIRISHKUMAR VIDYALAYA,4,Operational,10,Secondary with Higher Secondary,3,Co-Education
132,Urban,MODEL COLONY,P E S PRI,4,Operational,1,Primary,3,Co-Education
133,Urban,MODEL COLONY,P E S GIRLS,4,Operational,7,Upper Pr. and Secondary,2,Girls
134,Urban,MODEL COLONY,MODERN HIGH SCHOOL,4,Operational,7,Upper Pr. and Secondary,1,Boys
135,Urban,MODEL COLONY,GURUKUL ENG MEDIUM,0,Operational,6,Pr. Up Pr. and Secondary Only,3,Co-Education
136,Urban,MODEL COLONY,PUNE POLICE PUBLIC SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
137,Urban,MODEL COLONY,MODERN ENG MED,0,Operational,1,Primary,3,Co-Education
138,Urban,MODEL COLONY,MODERN ENG HIGHSCH,0,Operational,7,Upper Pr. and Secondary,3,Co-Education
139,Urban,MODEL COLONY,PUNE PUBLIC SCHOOL HISCHOOL,0,Operational,8,Secondary Only,3,Co-Education
140,Urban,MODEL COLONY,MODERN JR. COLLEGE,4,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
141,Urban,PANDAVNAGAR,PMC 26 G,4,Operational,1,Primary,3,Co-Education
142,Urban,PANDAVNAGAR,PMC 7 G,4,Operational,2,Primary with Upper Primary,3,Co-Education
143,Urban,PANDAVNAGAR,PMC 42 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
144,Urban,PANDAVNAGAR,PMC VINI 13,4,Operational,2,Primary with Upper Primary,3,Co-Education
145,Urban,PANDAVNAGAR,PMC 37 B KANNAD MED SCHOOL,3,Operational,2,Primary with Upper Primary,3,Co-Education
146,Urban,PANDAVNAGAR,HUTATMA RAJGURU HIGHSCH BOYS,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
147,Urban,PANDAVNAGAR,VIDYA VARDHINI HIGHSCHOOL,4,Operational,8,Secondary Only,3,Co-Education
148,Urban,PANDAVNAGAR,VIDYAVARDHINI PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
149,Urban,PANDAVNAGAR,HUTATMA RAJGURU VID GIRLS,4,Operational,7,Upper Pr. and Secondary,2,Girls
150,Urban,PANDAVNAGAR,KUSUMTAI BAGAL,4,Operational,2,Primary with Upper Primary,3,Co-Education
151,Urban,PARMHANSNAGAR VANAZ CO,PMC SCH NO 139 ,4,Operational,2,Primary with Upper Primary,3,Co-Education
152,Urban,PARMHANSNAGAR VANAZ CO,VANAZ PARIWAR VIDYA MANDIR,4,Operational,2,Primary with Upper Primary,3,Co-Education
153,Urban,PARMHANSNAGAR VANAZ CO,VASUNDHARA PRI SC,0,Operational,2,Primary with Upper Primary,3,Co-Education
154,Urban,PARMHANSNAGAR VANAZ CO,VISHVA NIRMAL VIDYALAY,0,Operational,1,Primary,3,Co-Education
155,Urban,PARMHANSNAGAR VANAZ CO,VASUNDHARA SEC SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
156,Urban,PARMHANSNAGAR VANAZ CO,CITI INTERNATIONAL SCHOOL,0,Operational,6,Pr. Up Pr. and Secondary Only,3,Co-Education
157,Urban,PARMHANSNAGAR VANAZ CO,SAHAYADRI INTERNATIONAL SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
158,Urban,POPULARNAGAR WARJE,P.M.C.SCHOOL NO.161 B ENG,0,Operational,2,Primary with Upper Primary,3,Co-Education
159,Urban,POPULARNAGAR WARJE,P.M.C.SCHOOL NO.161 B MAR,4,Operational,2,Primary with Upper Primary,3,Co-Education
160,Urban,POPULARNAGAR WARJE,YASHODEEP PRATHAMIK,4,Operational,2,Primary with Upper Primary,3,Co-Education
161,Urban,POPULARNAGAR WARJE,NAVBHARAT PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
162,Urban,POPULARNAGAR WARJE,PANDIT NEHRU PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
163,Urban,POPULARNAGAR WARJE,MOHAL VIDHYALAYA,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
164,Urban,POPULARNAGAR WARJE,MODERN HIGH SCHOOL,4,Operational,8,Secondary Only,3,Co-Education
165,Urban,POPULARNAGAR WARJE,YASHODEEP MADHYMIK,4,Operational,8,Secondary Only,3,Co-Education
166,Urban,POPULARNAGAR WARJE,DNYANDA BALAK MANDIR,4,Operational,2,Primary with Upper Primary,3,Co-Education
167,Urban,POPULARNAGAR WARJE,VIMAL VIDYA KUNJ MARATHI,4,Operational,2,Primary with Upper Primary,3,Co-Education
168,Urban,POPULARNAGAR WARJE,VIMAL VIDYA KUNJ MARATHI SECO,4,Operational,8,Secondary Only,3,Co-Education
169,Urban,POPULARNAGAR WARJE,VIMAL VIDYA KUNJ ,0,Operational,2,Primary with Upper Primary,3,Co-Education
170,Urban,POPULARNAGAR WARJE,ADARASH PRIMARY SCHOOL,4,Operational,2,Primary with Upper Primary,3,Co-Education
171,Urban,POPULARNAGAR WARJE,NAVBHARAT MADHYAMIK,4,Operational,8,Secondary Only,3,Co-Education
172,Urban,POPULARNAGAR WARJE,ONKAR PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
173,Urban,POPULARNAGAR WARJE,MELINIUM NATIONAL ENG SCH,0,Operational,2,Primary with Upper Primary,3,Co-Education
174,Urban,POPULARNAGAR WARJE,MELINIUM NATIONAL SECONDARY,0,Operational,10,Secondary with Higher Secondary,3,Co-Education
175,Urban,POPULARNAGAR WARJE,SHANU PATEL HIGH SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
176,Urban,POPULARNAGAR WARJE,ROSARY PRIMARY ENG SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
177,Urban,POPULARNAGAR WARJE,P.E.S. ENGLISH MEDIUM,0,Operational,2,Primary with Upper Primary,3,Co-Education
178,Urban,POPULARNAGAR WARJE,ROSARY HIGHSCHOOL,0,Operational,8,Secondary Only,3,Co-Education
179,Urban,POPULARNAGAR WARJE,ROSARY INTERNATIONAL SCHOOL,0,Operational,6,Pr. Up Pr. and Secondary Only,3,Co-Education
180,Urban,POPULARNAGAR WARJE,P E S ENGLISH MEDIUM SEC,0,Operational,8,Secondary Only,3,Co-Education
181,Urban,POPULARNAGAR WARJE,JAIHIND ENGLISH MEDIUM,0,Operational,2,Primary with Upper Primary,3,Co-Education
182,Urban,POPULARNAGAR WARJE,JAIHIND SECONDAR SEC ENGLISH,0,Operational,8,Secondary Only,3,Co-Education
183,Urban,POPULARNAGAR WARJE,R.M.D. SINHGAD SPRINGDEL PRI SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
184,Urban,POPULARNAGAR WARJE,VIDYASHRAM PRI SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
185,Urban,POPULARNAGAR WARJE,R.M.D. SINHGAD SPRINGDEL SEC SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
186,Urban,POPULARNAGAR WARJE,RAGHAVDAS VIDYALAY SEC.,0,Operational,8,Secondary Only,3,Co-Education
187,Urban,POPULARNAGAR WARJE,RAGHAVDAS VIDYALAY PRI.,0,Operational,2,Primary with Upper Primary,3,Co-Education
188,Urban,POPULARNAGAR WARJE,YASHODEEP ENGLISH MED SCHOOL,0,Operational,1,Primary,3,Co-Education
189,Urban,POPULARNAGAR WARJE,PRE PRIMARY & PRIMARY MOHOL VIDYALAY,4,Operational,1,Primary,3,Co-Education
190,Urban,PRABHAT ROAD,PMC 55G ,4,Operational,2,Primary with Upper Primary,3,Co-Education
191,Urban,PRABHAT ROAD,BADHIR MUK SHISKHAN KENDRA,4,Operational,2,Primary with Upper Primary,3,Co-Education
192,Urban,PRABHAT ROAD,BALSHIKSHAN MANDIR PRI,4,Operational,1,Primary,3,Co-Education
193,Urban,PRABHAT ROAD,PARANJAPE PRI,4,Operational,1,Primary,3,Co-Education
194,Urban,PRABHAT ROAD,ABHINAV PRI,4,Operational,1,Primary,3,Co-Education
195,Urban,PRABHAT ROAD,SHISHU VIHAR PRI,4,Operational,2,Primary with Upper Primary,3,Co-Education
196,Urban,PRABHAT ROAD,RAMCHANDRA RATHI HIGHSCH,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
197,Urban,PRABHAT ROAD,ABHINAV VIDYALA HIGH,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
198,Urban,PRABHAT ROAD,PREMLILA VITHAL KANYA SHALA,4,Operational,7,Upper Pr. and Secondary,2,Girls
199,Urban,PRABHAT ROAD,ERANDWANA SEC,4,Operational,8,Secondary Only,3,Co-Education
200,Urban,PRABHAT ROAD,PADMATAI BANHATTI PRIMARY,4,Operational,1,Primary,3,Co-Education
201,Urban,PRABHAT ROAD,ST CRISPIN HOMES PRIMARY,4,Operational,2,Primary with Upper Primary,2,Girls
202,Urban,PRABHAT ROAD,VIMLABAI GARWARE SCH,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
203,Urban,PRABHAT ROAD,ST CRISPIN'S HOME SEC,4,Operational,8,Secondary Only,2,Girls
204,Urban,PRABHAT ROAD,KALMADI SEC KANNAD,3,Operational,8,Secondary Only,3,Co-Education
205,Urban,PRABHAT ROAD,ABHINAV ENG HIGHSCHOOL,0,Operational,8,Secondary Only,3,Co-Education
206,Urban,PRABHAT ROAD,SYMBIOSIS SCH,0,Operational,2,Primary with Upper Primary,3,Co-Education
207,Urban,PRABHAT ROAD,PANDITRAO AGASHI SCH,0,Operational,2,Primary with Upper Primary,3,Co-Education
208,Urban,PRABHAT ROAD,SYMBIOSIS SECONDARY,0,Operational,8,Secondary Only,3,Co-Education
209,Urban,PRABHAT ROAD,PANDITRAO AGASHE SECONDARY,0,Operational,8,Secondary Only,3,Co-Education
210,Urban,PRABHAT ROAD,SPRING DALE PRIMARY,0,Operational,2,Primary with Upper Primary,3,Co-Education
211,Urban,PRABHAT ROAD,SPRING DALE SEC,0,Operational,8,Secondary Only,3,Co-Education
212,Urban,PRABHAT ROAD,ABASAHEB GARWARE COLLEGE OF COMMERCE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
213,Urban,PRABHAT ROAD,ABASAHEB GARWARE COLLEGE OF SCI & ART,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
214,Urban,PRABHAT ROAD,S. N .D. T.  COLLEGE,4,Operational,11,Higher Secondary only/Jr. College,2,Girls
215,Urban,PRABHAT ROAD,B.M.C.C. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
216,Urban,PRABHAT ROAD,SYMBOYSIS COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
217,Urban,PRABHAT ROAD,M.M.C.C. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
218,Urban,PRABHAT ROAD,FERGUSSON COLLEGE,4,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
219,Urban,PUNE VIDYAPEETH,P. M. C. VINI  9 ,4,Operational,2,Primary with Upper Primary,3,Co-Education
220,Urban,PUNE VIDYAPEETH,P. M. C. 66 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
221,Urban,PUNE VIDYAPEETH,AHILYA HOLKAR ENG,0,Operational,2,Primary with Upper Primary,3,Co-Education
222,Urban,PUNE VIDYAPEETH,P. M. C. 92 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
223,Urban,PUNE VIDYAPEETH,P. M. C. 112 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
224,Urban,PUNE VIDYAPEETH,Central School,0,Operational,3,Pr. with Up.Pr. sec. and H.Sec.,3,Co-Education
225,Urban,PUNE VIDYAPEETH,SHISHUVIHAR PRI ,4,Operational,2,Primary with Upper Primary,3,Co-Education
